month,revenue,orders,customers,aov,mom_growth_pct
2025-01,4574971.85,980,828,4668.33862244898,
2025-02,3854536.94,797,691,4836.307327478043,-15.747308040813401
2025-03,4428749.77,941,805,4706.42908607864,14.897063874033067
2025-04,4138992.42,877,755,4719.489646522235,-6.542644426713673
2025-05,4661492.13,960,812,4855.72096875,12.623838291542455
2025-06,4261016.95,888,762,4798.442511261262,-8.591137104418955
2025-07,4599920.37,939,794,4898.7437380191695,7.953580658720449
2025-08,4639552.5,909,788,5104.018151815181,0.8615829582284684
2025-09,4533977.73,947,804,4787.727275607181,-2.2755377808527766
2025-10,4197688.63,908,779,4623.005099118943,-7.41708760003108
2025-11,4047647.1,873,758,4636.480068728522,-3.574384458334634
2025-12,4519135.99,957,819,4722.190167189133,11.64846831632136
